Index,I,Q,U,V,QNormalized,UNormalized,VNormalized,DoP,DoLP,DoCP,Orientation,Ellipticity,Eccentricity
0,0.2349665,-0.0512882226064133,-0.0488245211594031,-0.2219278,-0.218278872121827,-0.207793541459753,-0.944508259688083,0.991423055262573,0.30136990872873,0.944508259688083,0.38039693023149,-0.725780005633253,0.687926873601399
1,0.2350727,-0.0512404928986832,-0.0491340217975284,-0.2219748,-0.217977216829871,-0.20901628218644,-0.944281492491472,0.991397705433021,0.301996478913146,0.944281492491472,0.382207564268665,-0.725256563888498,0.688478697227916
2,0.2351794,-0.0509727115606478,-0.049747578351564,-0.2219842,-0.216739695571329,-0.211530339611224,-0.943893045054116,0.99128969565608,0.30285504818707,0.943893045054116,0.38661752259299,-0.724480475681119,0.68929532158347
3,0.235154,-0.0509015766184605,-0.0496876156965194,-0.2220363,-0.216460602917494,-0.211298194785202,-0.944216555959074,0.991487278931054,0.302493173038484,0.944216555959074,0.386665123368531,-0.724930138218218,0.688822397068298
4,0.235231,-0.0510418666038479,-0.0498206931927387,-0.222005,-0.216986139598301,-0.211794760013513,-0.943774417487491,0.991287120995127,0.303216103046911,0.943774417487491,0.386645726769303,-0.724188732230175,0.689601827224125
5,0.235208,-0.0512805151424983,-0.0492205716675457,-0.2220732,-0.218021985402275,-0.209264020218469,-0.94415666133805,0.99134091886987,0.302200291655626,0.94415666133805,0.382452152330247,-0.72504718927504,0.68869918928685
6,0.2352005,-0.0510572108209996,-0.0492492802028618,-0.2220511,-0.217079516501877,-0.209392753003764,-0.944092805925157,0.991100432698332,0.301610413439563,0.944092805925157,0.383688025390658,-0.72532671541122,0.688404790737813
7,0.2354214,-0.0509736307994634,-0.0499083037229277,-0.2221503,-0.216520803968812,-0.211995611796242,-0.943628319260696,0.991089200265511,0.303023758098542,0.943628319260696,0.387419209322598,-0.724183510389481,0.6896073109241
8,0.2353933,-0.0511737420185392,-0.0497346382974683,-0.2221143,-0.217396765407253,-0.211283151633748,-0.943588029056052,0.991090456190408,0.303153300780027,0.943588029056052,0.385568820753074,-0.724080603940649,0.689715360853262
9,0.2353959,-0.0511808837970291,-0.0493892166348587,-0.2222082,-0.217424703646194,-0.209813410662032,-0.943976509361463,0.99115428631244,0.302150904432322,0.943976509361463,0.383792470065241,-0.724936338905354,0.688815871285282
