Index,I,Q,U,V,QNormalized,UNormalized,VNormalized,DoP,DoLP,DoCP,Orientation,Ellipticity,Eccentricity
0,0.2263531,0.0167747648807666,-0.216170533315355,-0.0435568,0.0741088365070616,-0.955014679787266,-0.192428555208654,0.977022981877752,0.957885775161947,0.192428555208654,-0.746675922143218,-0.0982838517189479,0.995158421805939
1,0.225371,0.0177620273686592,-0.215581513366627,-0.043157,0.078812390984906,-0.956562793645263,-0.191493137981373,0.978720283356354,0.95980402747602,0.191493137981373,-0.74429538379309,-0.0977103502680275,0.99521489511085
2,0.2258721,0.0176004534691581,-0.216060861053593,-0.043298,0.0779222111502841,-0.956562855941894,-0.191692555211556,0.978688103576311,0.959731404278437,0.191692555211556,-0.744757585487066,-0.0978157286213086,0.995204543415213
3,0.2253443,0.0176637395260743,-0.215595372659538,-0.0433267,0.0783855616763961,-0.956737635074585,-0.192268896972322,0.979008951639559,0.959943330956278,0.192268896972322,-0.744524431004932,-0.0980992123269767,0.995176639868936
4,0.2266677,0.0160347776342548,-0.216088013953991,-0.0435358,0.0707413435361758,-0.953325127285407,-0.19206883027445,0.975050548208675,0.955946199322452,0.19206883027445,-0.748363616421842,-0.0981973994688523,0.995166956212652
5,0.2256943,0.0175554814778746,-0.215732904928479,-0.0434724,0.0777843369454817,-0.955863328974097,-0.192616295582122,0.978174904643986,0.959022995945088,0.192616295582122,-0.744799619536352,-0.0983226312201598,0.995154591101274
6,0.2255383,0.0182205861162587,-0.21610456025267,-0.0434284,0.0807871040805872,-0.95817233814687,-0.192554435322072,0.980662019422477,0.961572038786262,0.192554435322072,-0.74334075894517,-0.0981633259012074,0.995170317808973
7,0.2257947,0.0173890285415833,-0.216003302561604,-0.0433768,0.0770125629236794,-0.956635840263763,-0.192107254953283,0.978768748546313,0.959730725633618,0.192107254953283,-0.745233016178683,-0.0980273730673743,0.995183718782371
8,0.2255525,0.0177142976609291,-0.215777169812981,-0.0434221,0.0785373589781942,-0.956660510581709,-0.192514381352457,0.978993991957686,0.959878872182176,0.192514381352457,-0.744442343515792,-0.0982276936013431,0.995163966494849
9,0.2256176,0.0171968369184568,-0.215482306285226,-0.0434048,0.0762211676680224,-0.955077557270471,-0.192382154583685,0.977237791023591,0.958114192986622,0.192382154583685,-0.745579426094725,-0.09824869012887,0.995161893808219
10,0.2262817,0.0165680775686257,-0.216007686623648,-0.0434672,0.0732188134021697,-0.954596357653525,-0.192093306705757,0.97648094664594,0.957400230144843,0.192093306705757,-0.747122439250645,-0.0981369592929608,0.995172918251261
11,0.2257644,0.016873971962167,-0.215714378730812,-0.0433517,0.0747415091226386,-0.955484472887716,-0.192021859956663,0.9774503904632,0.958403292521184,0.192021859956663,-0.746365807493787,-0.098050212992371,0.995181468744345
12,0.2260468,0.0169780580803577,-0.215664598413416,-0.0434365,0.0751085973362936,-0.954070565977559,-0.192157110828377,0.976123097514076,0.957022437698597,0.192157110828377,-0.746116997012025,-0.0981885067471932,0.995167833655588
