Index,I,Q,U,V,QNormalized,UNormalized,VNormalized,DoP,DoLP,DoCP,Orientation,Ellipticity,Eccentricity
0,0.2921308,0.240783718286931,-0.143298159055935,-0.0037483,0.82423256393003,-0.490527390661768,-0.0128308962971381,0.959239840880215,0.959154023310184,0.0128308962971381,-0.268416296967121,-0.00654920243353765,0.999978553743771
1,0.2924981,0.240292208363328,-0.143599740098111,-0.0038114,0.821517159815151,-0.490942471414723,-0.0130305119930694,0.957123162582721,0.95703445816206,0.0130305119930694,-0.269328174542224,-0.00665829461444787,0.999977833310733
2,0.2912645,0.241592365601896,-0.142112623826598,-0.003839,0.829460389446347,-0.487916048219393,-0.0131804596852689,0.962413805121285,0.962323546303693,0.0131804596852689,-0.265861215010991,-0.00671676172366993,0.999977442301549
3,0.2912722,0.24154633295044,-0.142008466997729,-0.0039523,0.829280422060328,-0.487545557034721,-0.0135690944758889,0.962076300987478,0.961980607183353,0.0135690944758889,-0.265742661422905,-0.00691601865289018,0.99997608405701
4,0.2917585,0.241019609109135,-0.142668834020679,-0.0037535,0.826092844284347,-0.48899632408543,-0.012865092190973,0.960058489334867,0.959972287280661,0.012865092190973,-0.267235493938946,-0.00656391535454949,0.999978457275565
5,0.2924805,0.240418144081057,-0.143616074264756,-0.0039225,0.821997172738207,-0.4910278608822,-0.0134111504869555,0.957584237082848,0.957490319612765,0.0134111504869555,-0.269237865382603,-0.00685119632653333,0.999976530279034
6,0.2914367,0.241474066637403,-0.142346181196423,-0.0037999,0.828564373112251,-0.488429155272563,-0.0130385088768848,0.961900183399972,0.961811811172626,0.0130385088768848,-0.266327294820572,-0.00664615678355576,0.99997791405611
7,0.291765,0.240955333102725,-0.142685592451393,-0.0039367,0.825854139813633,-0.48904286823777,-0.0134927081726732,0.959885430869421,0.959790595505885,0.0134927081726732,-0.267319702780641,-0.00688477034414501,0.999976299687802
8,0.2927125,0.240823740530746,-0.143742504957232,-0.0038156,0.822731316669926,-0.491070606677994,-0.0130353162232566,0.958231224518156,0.958142557332949,0.0130353162232566,-0.269060546942984,-0.00665698019505337,0.999977842061854
9,0.2923048,0.241015932153872,-0.143076834633423,-0.0039334,0.824536347517634,-0.489478224898885,-0.0134565015695945,0.958973512909703,0.958879096147102,0.0134565015695945,-0.267865162403446,-0.0068694906163744,0.999976404770968
10,0.2923223,0.24121936677482,-0.142928695762765,-0.0038458,0.825182912062541,-0.488942156526426,-0.0131560267553998,0.95925197514976,0.959161754235816,0.0131560267553998,-0.267452815666979,-0.00671513045155956,0.999977453257331
11,0.2922165,0.241445216680731,-0.142868874529077,-0.0037913,0.826254563588061,-0.488914467626149,-0.0129742844774337,0.960157431134061,0.960069768560732,0.0129742844774337,-0.267155906940889,-0.0066192972747907,0.999978092211818
12,0.2929926,0.241645398610485,-0.143528110181177,-0.0039816,0.824749152744761,-0.489869403463353,-0.0135894217123572,0.959358050878408,0.959261798156656,0.0135894217123572,-0.267983869515297,-0.00693599075179369,0.999975945726841
13,0.2933624,0.241866440190284,-0.143662319048246,-0.0037383,0.824462985680113,-0.489709380098629,-0.0127429418357635,0.959018703821661,0.958934039292145,0.0127429418357635,-0.267988329583328,-0.00650503875075251,0.999978842011595
14,0.2936522,0.242287451567802,-0.143650298232966,-0.0040054,0.825083045752091,-0.489185159290364,-0.0136399454865313,0.959296721859488,0.95919974585979,0.0136399454865313,-0.267588328205177,-0.00696199839518941,0.999975764995505
15,0.2934678,0.242870743951603,-0.143009871621245,-0.0038287,0.827589070935901,-0.487310265798309,-0.0130464057726265,0.960492152070255,0.960403543040615,0.0130464057726265,-0.266083334361656,-0.00665495929087709,0.999977855513229
16,0.2942701,0.242383193825975,-0.144048965036199,-0.0039436,0.823675914834619,-0.489512747085751,-0.0134012935734891,0.958250664965868,0.958156950733065,0.0134012935734891,-0.268109856070654,-0.00684383014776836,0.999976580720223
17,0.2948219,0.241940827823664,-0.144871188801362,-0.0038647,0.820633839696659,-0.491385439146015,-0.0131085920007978,0.956593635690854,0.95650381528774,0.0131085920007978,-0.269763808614867,-0.00670000840191048,0.999977554691811
18,0.2941591,0.242403629211951,-0.144102917283603,-0.0038637,0.824056196840251,-0.489880874953735,-0.0131347287913242,0.958761914291904,0.958671939297409,0.0131347287913242,-0.268173578310459,-0.00670593606198069,0.999977514957978
19,0.2945629,0.242058702524088,-0.144688260277069,-0.0038011,0.821755565701207,-0.491196482235439,-0.0129042048404602,0.95745637625113,0.957369413508381,0.0129042048404602,-0.269378178428483,-0.00659262618052807,0.999978268403891
20,0.2945807,0.241785193621125,-0.144710180587286,-0.003862,0.820777442721554,-0.49124121365482,-0.0131101596268866,0.956642784303021,0.956552947030949,0.0131101596268866,-0.269660567197767,-0.00670064137379015,0.999977550450599
21,0.2942711,0.24200750799313,-0.144576820248354,-0.0037395,0.822396450052792,-0.491304855449123,-0.0127076699003062,0.958059427656559,0.957975146883946,0.0127076699003062,-0.269255108445377,-0.00649021001136304,0.999978938365208
22,0.2942271,0.241538625486525,-0.144615074725217,-0.003842,0.820925827316809,-0.491508344150545,-0.0130579406179784,0.95690656604424,0.956817467610932,0.0130579406179784,-0.26974052491745,-0.00667304990583552,0.999977734954611
23,0.2933207,0.241758040720728,-0.143457045949668,-0.0037749,0.824210636074193,-0.489079174942878,-0.0128695315400516,0.958481735257743,0.958395331781532,0.0128695315400516,-0.267772885332027,-0.00657146763536465,0.999978407673444
24,0.2928774,0.241759384223612,-0.143106391696877,-0.0039798,0.825462750705967,-0.488622173294618,-0.0135886210407495,0.959335724165428,0.95923948054603,0.0135886210407495,-0.267234967330729,-0.00693566109486646,0.99997594801334
25,0.2932237,0.241238600079268,-0.143804518221943,-0.0038535,0.822711806989913,-0.490425972463831,-0.0131418435822207,0.957885723810748,0.957795568912125,0.0131418435822207,-0.268776806347712,-0.0067125719308493,0.999977470435246
26,0.2932338,0.240907249841604,-0.143852884325776,-0.0038446,0.821553483403359,-0.490574020886322,-0.0131110397232516,0.956966506949639,0.956876688011976,0.0131110397232516,-0.269153172443751,-0.00669998258120765,0.999977554864814
27,0.2933416,0.240952221832887,-0.144119039318214,-0.0037721,0.821404880292763,-0.491301061009466,-0.0128590694262253,0.957208475507976,0.957122097706345,0.0128590694262253,-0.269519064688238,-0.00657039713633375,0.999978414707773
28,0.2937711,0.240480157345767,-0.144756425370776,-0.0039138,0.8185970551418,-0.492752436746759,-0.0133226175073042,0.955554077351953,0.955461198901712,0.0133226175073042,-0.270925121324616,-0.0068130308669826,0.999976791035875
29,0.2944138,0.240189465748021,-0.145512534651899,-0.0037895,0.815822715334748,-0.494244952688694,-0.0128713395907393,0.953944677377714,0.953857838524385,0.0128713395907393,-0.272345413597182,-0.00658765409486503,0.999978301171344
30,0.2930417,0.241105593293727,-0.143895664286038,-0.0036465,0.822768886795725,-0.491041596762636,-0.0124436215050622,0.958240749783914,0.958159950545981,0.0124436215050622,-0.269037499846412,-0.00635475232837475,0.999979808357571
31,0.291799,0.241247721756745,-0.142610992685978,-0.0038968,0.826759933230564,-0.488730231035671,-0.0133543980616794,0.960503808358497,0.960410967202888,0.0133543980616794,-0.266939376454201,-0.00681204006970716,0.999976797785873
32,0.2915488,0.240581202904799,-0.142664591379992,-0.0037513,0.825183306893388,-0.48933348852745,-0.012866799657553,0.959447918077567,0.959361638262626,0.012866799657553,-0.267628176133428,-0.00656683248578965,0.999978438123095
