Index,I,Q,U,V,QNormalized,UNormalized,VNormalized,DoP,DoLP,DoCP,Orientation,Ellipticity,Eccentricity
0,0.2553633,0.164807640232848,-0.115105528847315,0.1349897,0.645384987712989,-0.450752041688507,0.528618247022967,0.948228050912483,0.787209746796654,0.528618247022967,-0.304833563294765,0.295778516187284,0.95525654635917
1,0.2556477,0.164642318667407,-0.115487225087799,0.1350663,0.644020339973358,-0.451743649904925,0.528329806996112,0.947611158909271,0.786660360974686,0.528329806996112,-0.305846929315724,0.29570802517155,0.955278369821667
2,0.2553145,0.164900483353218,-0.115399190293542,0.1347803,0.645871986719196,-0.451988391938341,0.527899120496486,0.94874739056114,0.788317277291072,0.527899120496486,-0.305299590660651,0.29519321162973,0.955437579231488
3,0.2549831,0.165445591970835,-0.114900467880771,0.1349916,0.648849245188544,-0.450619934735952,0.529413910176792,0.950969377452217,0.78997700508507,0.529413910176792,-0.303509522274853,0.295765760494578,0.955260495843445
4,0.2552526,0.165023166379754,-0.114907538948582,0.134989,0.646509247622763,-0.450171864845187,0.528844760053375,0.94884439999183,0.787800047702426,0.528844760053375,-0.304123105780927,0.295807554504216,0.955247554667498
5,0.2560907,0.164524585388339,-0.115937722818093,0.1351252,0.642446544869999,-0.452721332005001,0.52764586921743,0.946627873438131,0.785935218365854,0.52764586921743,-0.306931093988187,0.295445133614774,0.955359708708374
6,0.2555895,0.165103917974166,-0.11538158333469,0.1350713,0.645973007397274,-0.451433190075062,0.528469675006211,0.94886945824407,0.788081881143847,0.528469675006211,-0.3049742434083,0.295551160480495,0.95532691343782
7,0.2558701,0.164775891138373,-0.115716398395582,0.1351043,0.643982595615405,-0.45224666108147,0.528019100316919,0.947652254898589,0.78691843663425,0.528019100316919,-0.306122357054257,0.295491439056093,0.955345387514149
8,0.2563103,0.164488381521143,-0.116311923726697,0.1350776,0.64175486323079,-0.453793404817119,0.527008083561215,0.946316690582359,0.785988396056763,0.527008083561215,-0.307742030220167,0.29507923160351,0.955472787198192
9,0.2557071,0.165071461772909,-0.11540640278271,0.1351477,0.645548996382615,-0.45132263743443,0.528525410518519,0.948559296699548,0.787671016218937,0.528525410518519,-0.305070899685196,0.295650265470205,0.95529624752084
10,0.2556626,0.1652401774509,-0.115419130704771,0.1351531,0.646321274409711,-0.45145097759614,0.528638525932225,0.949209073927815,0.788377558614592,0.528638525932225,-0.304856967046101,0.295596711883226,0.955312819930637
11,0.2559054,0.165029459630107,-0.115423373345458,0.1351921,0.644884631704163,-0.45103922521939,0.528289360052582,0.947840819357074,0.786964148417653,0.528289360052582,-0.305165182813402,0.295635119775838,0.95530093476094
12,0.2565995,0.164697402285661,-0.116538480739389,0.135195,0.641846154359854,-0.454164878495045,0.526871642384338,0.946480824039094,0.786277446404863,0.526871642384338,-0.30790138794922,0.294955099749337,0.955511114080762
13,0.2560159,0.165055551870332,-0.115562461249317,0.1351188,0.644708207069687,-0.451387828839214,0.527775032722577,0.947600194941151,0.787019468810773,0.527775032722577,-0.305410908621785,0.295338154918816,0.955392785323999
14,0.2561963,0.165154829662411,-0.115844172590942,0.1353415,0.644641744093927,-0.452169576964781,0.528272656552807,0.948204779687558,0.78741368070473,0.528272656552807,-0.305841755441926,0.295551422849423,0.955326832268246
15,0.2566397,0.164551172603312,-0.116196523900007,0.1352419,0.64117582978515,-0.452761298817009,0.526971859770721,0.945409212667908,0.784919892987266,0.526971859770721,-0.30741817469425,0.295235579950187,0.95542448803214
16,0.2566985,0.164739828692533,-0.116465648740927,0.1352106,0.641763893020538,-0.453705996493657,0.526729217350316,0.946125622763518,0.7859453070279,0.526729217350316,-0.307693310696875,0.294930206024549,0.955518798127131
17,0.2565999,0.165027762573832,-0.116540743481089,0.1353187,0.64313260673068,-0.454172988692081,0.52735289452568,0.947625310374469,0.78733261935328,0.52735289452568,-0.30743369959065,0.295050226698428,0.955481744318125
