Index,I,Q,U,V,QNormalized,UNormalized,VNormalized,DoP,DoLP,DoCP,Orientation,Ellipticity,Eccentricity
0,0.2505849,0.076328146520435,-0.20374695001262,-0.1038434,0.304599944052635,-0.813085505202508,-0.414404060260614,0.962091414496444,0.868267910663111,0.414404060260614,-0.606178425649608,-0.221811902830108,0.975089472696166
1,0.2512919,0.0753869166839976,-0.204120373103764,-0.1039465,0.299997400170867,-0.812283933957937,-0.413648430371214,0.959639856104377,0.865912021787122,0.413648430371214,-0.608504784269863,-0.221686995711101,0.975117877967883
2,0.250929,0.0760639714269837,-0.203865178266434,-0.1038965,0.303129456647035,-0.812441679783661,-0.414047399862112,0.960928821437571,0.867149900845766,0.414047399862112,-0.606842191509739,-0.221753700479303,0.975102710653465
3,0.2515433,0.075572461503381,-0.204488210051338,-0.1039494,0.300435199440339,-0.812934433361325,-0.413246546419642,0.960154367867488,0.866673930614769,0.413246546419642,-0.608397870868407,-0.221381216956056,0.975187344451852
4,0.2515684,0.0755401467234808,-0.204548809102485,-0.1039531,0.300276770546224,-0.813094208582975,-0.413220022864557,0.96022868018875,0.866768902857529,0.413220022864557,-0.608515544584179,-0.221355745873004,0.975193126395488
5,0.2514267,0.0758614560448519,-0.204378113525507,-0.1039056,0.301723945964577,-0.812873547342056,-0.413263985089889,0.960514375170549,0.867064440244722,0.413263985089889,-0.607688614193812,-0.221344253675423,0.97519573489883
6,0.2510246,0.0764463040635713,-0.203938505239643,-0.1039342,0.304537101397916,-0.812424380875991,-0.414039898878437,0.96135594793648,0.867626775041885,0.414039898878437,-0.606078680859121,-0.221693062238921,0.975116498760599
7,0.2513047,0.0761632492190623,-0.204277845783935,-0.1040292,0.303071328228491,-0.812869181451579,-0.413956444109481,0.961232788541729,0.867530135584892,0.413956444109481,-0.606959710659722,-0.221659846993491,0.975124049662822
8,0.2515729,0.0760907707739907,-0.204488917158119,-0.1040814,0.302460124973678,-0.812841594456791,-0.413722622746727,0.96091622603148,0.867290945921927,0.413722622746727,-0.607284316472238,-0.22156302082987,0.975146054599383
9,0.2518486,0.0754523240612573,-0.204478522688435,-0.1041546,0.299593978530186,-0.811910499754358,-0.413560369205944,0.959159731515389,0.865421984688924,0.413560369205944,-0.608648679110548,-0.22169802468309,0.975115370533977
10,0.2516277,0.0757700271380445,-0.204433904250543,-0.104048,0.301119579195949,-0.812445943950298,-0.413499785595942,0.960064313212572,0.866453352937385,0.413499785595942,-0.607929709379713,-0.221543059163619,0.975150589876469
11,0.2517182,0.0754738201074054,-0.204422236988653,-0.1041291,0.299834577346435,-0.812107495559133,-0.413673306101823,0.959450343841231,0.865690105127604,0.413673306101823,-0.608557696549655,-0.221726697785927,0.975108851097634
12,0.252011,0.0753271661609873,-0.204732091180169,-0.1041045,0.298904278626676,-0.812393471634845,-0.413095063310729,0.95915298668562,0.8656367139489,0.413095063310729,-0.609118997864958,-0.221423099267998,0.975177835633355
13,0.2518165,0.0756315049196101,-0.204602549217856,-0.1040866,0.300343722192986,-0.812506524464662,-0.413343049403038,0.959805021995709,0.86624084627682,0.413343049403038,-0.608361777622341,-0.221484301036312,0.975163937189259
14,0.2520063,0.0753384798694863,-0.204703241223497,-0.1041096,0.298954747835615,-0.812294141946041,-0.413123005258202,0.959096622748135,0.865560924657133,0.413123005258202,-0.609071824119583,-0.22144707245845,0.975172391990043
15,0.2515326,0.0762464049765298,-0.204604953380912,-0.1040578,0.303127328133728,-0.813433142983898,-0.413695083659136,0.961614931981557,0.86807813885972,0.413695083659136,-0.607042968293128,-0.221454914038905,0.975170611251191
16,0.2518322,0.0755861086642579,-0.204702392695359,-0.1040594,0.300144733930998,-0.812852338562579,-0.413209271888186,0.959977962240555,0.866496269820686,0.413209271888186,-0.608538665658073,-0.221382318609125,0.975187094360486
17,0.2516641,0.0756218882673859,-0.204498463099665,-0.1039868,0.300487388814638,-0.812584961858544,-0.413196796841504,0.959853417973479,0.866364236955388,0.413196796841504,-0.608299702765122,-0.221391295793127,0.975185056359582
18,0.2522081,0.0745434090047202,-0.204701402745865,-0.1040375,0.295563104455092,-0.811636909147111,-0.412506576910099,0.957221864041505,0.863777761351267,0.412506576910099,-0.610782869650724,-0.22132819988743,0.975199378555273
19,0.2522219,0.0746747894446646,-0.204760375451416,-0.1041219,0.296067825373866,-0.811826314255092,-0.412818633116315,0.957672880260604,0.864128533112186,0.412818633116315,-0.610545957896976,-0.22145395329962,0.975170829428347
20,0.2518778,0.0751455811395787,-0.20466138050205,-0.1040494,0.298341422465889,-0.81254235387974,-0.413094762619016,0.959103729588546,0.865582278704571,0.413094762619016,-0.609453827556359,-0.221429398925177,0.975176405216838
